 start-start:40  start-end:37  sabun:3

 start-start:60  start-end:56  sabun:4

 start-start:80  start-end:75  sabun:5

 start-start:96  start-end:90  sabun:6

 start-start:120  start-end:113  sabun:7

 start-start:120  start-end:119  sabun:1

 start-start:160  start-end:151  sabun:9

 start-start:160  start-end:159  sabun:1

 start-start:240  start-end:227  sabun:13

 start-start:240  start-end:239  sabun:1

 start-start:320  start-end:303  sabun:17

 start-start:360  start-end:341  sabun:19

 start-start:480  start-end:455  sabun:25

 start-start:480  start-end:479  sabun:1

 start-start:560  start-end:531  sabun:29

 start-start:600  start-end:569  sabun:31

 start-start:880  start-end:607  sabun:273

 start-start:720  start-end:683  sabun:37

 start-start:840  start-end:797  sabun:43

 start-start:880  start-end:835  sabun:45

 start-start:960  start-end:911  sabun:49

 start-start:1360  start-end:1063  sabun:297

 start-start:1120  start-end:1111  sabun:9

 start-start:1200  start-end:1139  sabun:61

 start-start:1320  start-end:1253  sabun:67

 start-start:1440  start-end:1367  sabun:73

 start-start:1680  start-end:1595  sabun:85

 start-start:1776  start-end:1686  sabun:90

 start-start:2160  start-end:2051  sabun:109

 start-start:2400  start-end:2279  sabun:121

